WattleOS RLS Security Audit — Full Report
Executive Summary
186 tables across 66 migrations. 186 ENABLE ROW LEVEL SECURITY statements — every table has RLS enabled. However, the audit uncovered 6 CRITICAL issues, 5 HIGH issues, and numerous MEDIUM/LOW findings across RLS policies, SECURITY DEFINER functions, and server-side admin client usage.

CRITICAL FINDINGS
CRITICAL 1: fee_notice_deliveries — RLS NOT ENABLED
Migration 00045 — This table has no ALTER TABLE ... ENABLE ROW LEVEL SECURITY statement. Any authenticated user can read/write all delivery records across all tenants. Contains parent contact data and fee amounts.

CRITICAL 2: oauth_state_tokens — Wide-open ALL policy
Migration 00048 — The ALL policy uses USING(true) WITH CHECK(true) without restricting to service_role. Any authenticated user can INSERT/UPDATE/DELETE any tenant's OAuth CSRF tokens. This is a session hijack vector.

CRITICAL 3: create_class_broadcast() — SECURITY DEFINER with no tenant validation
Migration 00006 — This function accepts p_tenant_id as a parameter and uses it directly to insert into message_threads, messages, and message_recipients. It bypasses RLS. A caller can inject data into any tenant's messaging system (which handles child/family communications).

CRITICAL 4: checkRatioBreaches() / checkIncidentNqaEscalations() — Exported as public server actions with no auth
Files: ratios.ts, incidents.ts — Use admin client to query ALL tenants' ratio breaches and serious incidents (including child injury/abuse reports). Exported as "use server" functions callable by any user. Platform-wide exposure of child safety data.

CRITICAL 5: retryWebhookEvent() — No tenant scoping on admin client
File: webhooks.ts — Looks up webhook events by ID only, no .eq("tenant_id", ...). A staff member at Tenant A could retry a webhook belonging to Tenant B, potentially triggering cross-tenant payment processing.

CRITICAL 6: resolveRecipientIds() — Missing tenant_id on admin client queries
File: push-notifications.ts — Queries class_enrollments and program_bookings by class_id/program_id only, no tenant filter. Could leak guardian IDs across tenants and send notifications to wrong-school parents.

HIGH FINDINGS
HIGH 1: LIMIT 1 multi-tenant pattern — Non-deterministic tenant scoping
13+ tables across migrations 00040, 00059, 00060, 00062, 00063, 00064 use:


tenant_id = (SELECT tenant_id FROM tenant_members WHERE user_id = auth.uid() LIMIT 1)
For users belonging to multiple tenants, LIMIT 1 without ORDER BY is non-deterministic. The user could be scoped to the wrong tenant, seeing School A's data while logged into School B. Affected tables include naplan_domain_results (student academic results), visitor_sign_in_records, contractor_sign_in_records, and all accreditation tables.

HIGH 2: notification_delivery_log / notification_topic_prefs — No tenant scoping
Migration 00031 — SELECT policy is user_id = auth.uid() only. A multi-tenant user sees delivery logs and notification preferences from ALL their tenants, not just the current one.

HIGH 3: counsellor_case_notes — Permission check is app-layer only
Migration 00018 — RLS policy is tenant_id = current_tenant_id() with no permission gate. Any authenticated user in the tenant can read all counsellor case notes (professional privilege material) if they bypass the app layer.

HIGH 4: tuckshop_* tables (5 tables) — RLS enabled, zero policies
Migration 00046 — All 5 tuckshop tables have RLS enabled but NO policies defined. This means all access is denied (including via anon key). Only service_role can access. If any feature tries to use the regular Supabase client, it silently fails. tuckshop_order_items also has no tenant_id column.

HIGH 5: next_invoice_number() — SECURITY DEFINER leaks invoice count
Migration 00028 — Accepts any p_tenant_id, bypasses RLS. Caller can learn invoice count for any school.

FULL TABLE AUDIT
Table	Migration	RLS	Policies	Tenant-Scoped	Issues
environment_plans	00035	YES	ALL (implicit)	YES (TM)	No WITH CHECK
plan_shelf_slots	00035	YES	ALL (implicit)	YES (TM)	No WITH CHECK
rotation_schedules	00035	YES	ALL (implicit)	YES (TM)	No WITH CHECK
accreditation_criteria	00036	YES	ALL (implicit)	YES (TM + NULL global)	OK
accreditation_cycles	00036	YES	ALL (implicit)	YES (TM)	No WITH CHECK
accreditation_assessments	00036	YES	ALL (implicit)	YES (TM)	No WITH CHECK
accreditation_evidence	00036	YES	ALL (implicit)	YES (TM)	No WITH CHECK
excursion_transport_bookings	00037	YES	ALL (implicit)	YES (TM)	No WITH CHECK
previous_school_records	00038	YES	ALL (implicit)	YES (TM)	No WITH CHECK
acara_report_periods	00039	YES	ALL (implicit)	YES (TM)	No WITH CHECK
acara_student_records	00039	YES	ALL (implicit)	YES (TM)	No WITH CHECK
cosmic_great_lessons	00040	YES	ALL (implicit)	YES (TM + NULL)	HIGH — LIMIT 1
cosmic_units	00040	YES	ALL (implicit)	PARTIAL	HIGH — LIMIT 1
cosmic_unit_studies	00040	YES	ALL (implicit)	PARTIAL	HIGH — LIMIT 1
cosmic_unit_participants	00040	YES	ALL (implicit)	PARTIAL	HIGH — LIMIT 1
cosmic_study_records	00040	YES	ALL (implicit)	PARTIAL	HIGH — LIMIT 1
debt_collection_stages	00041	YES	svc ALL, SELECT	YES	OK — svc writes
debt_payment_plans	00041	YES	svc ALL, SELECT	YES	OK
debt_payment_plan_items	00041	YES	svc ALL, SELECT	YES	OK
debt_reminder_sequences	00041	YES	svc ALL, SELECT	YES	OK
debt_reminder_log	00041	YES	svc ALL, SELECT	YES	OK
debt_write_offs	00041	YES	svc ALL, SELECT	YES	OK
grants	00042	YES	svc ALL, SELECT	YES	OK
grant_milestones	00042	YES	svc ALL, SELECT	YES	OK
grant_expenditures	00042	YES	svc ALL, SELECT	YES	OK
grant_documents	00042	YES	svc ALL, SELECT	YES	OK
fee_notice_configs	00045	YES	ALL	YES (current_setting)	MEDIUM — no permission
fee_notices	00045	YES	ALL	YES (current_setting)	MEDIUM — no permission
fee_notice_deliveries	00045	NO	NONE	NO	CRITICAL — RLS MISSING
tuckshop_suppliers	00046	YES	NONE	NO	HIGH — 0 policies
tuckshop_menu_items	00046	YES	NONE	NO	HIGH — 0 policies
tuckshop_delivery_weeks	00046	YES	NONE	NO	HIGH — 0 policies
tuckshop_orders	00046	YES	NONE	NO	HIGH — 0 policies
tuckshop_order_items	00046	YES	NONE	NO	HIGH — 0 policies, no tenant_id
oauth_state_tokens	00048	YES	SELECT, ALL(true)	NO	CRITICAL — open write
plg_feature_usage	00049	YES	ALL(false)	N/A	OK — locked
plg_champion_notifications	00049	YES	ALL(false)	N/A	OK — locked
report_periods	00050	YES	ALL, SELECT	YES + permission	OK
report_instances	00050	YES	ALL, SELECT, UPDATE	YES + permission	OK
report_builder_students	00051	YES	ALL	YES	MEDIUM — no permission
guide_invitations	00051	YES	ALL, SELECT	YES admin / token-based	OK
product_signups	00051	YES	ALL(false)	N/A	OK — locked
report_settings	00051	YES	ALL, SELECT	YES + permission	OK
ratio_breach_alert_log	00053	YES	SELECT	Implicit (via has_permission)	MEDIUM — no direct tenant check
daily_care_log_field_configs	00054	YES	SELECT, INSERT, UPDATE	YES + permission	OK
sensitive_period_materials	00055	YES	ALL	YES	MEDIUM — no permission
webhook_events	00056	YES	SELECT	PARTIAL (OR NULL)	MEDIUM — platform events exposed
medication_plan_review_alerts	00057	YES	SELECT, INSERT	YES	OK
staff_profiles	00058	YES	ALL, SELECT	YES + permission	OK
staff_compliance_records	00058	YES	ALL, SELECT	YES + permission	OK
visitor_sign_in_records	00059	YES	SELECT, ALL	PARTIAL	HIGH — LIMIT 1
contractor_sign_in_records	00059	YES	SELECT, ALL	PARTIAL	HIGH — LIMIT 1
naplan_test_windows	00060	YES	S/I/U/D	PARTIAL	HIGH — LIMIT 1 (student data)
naplan_cohort_entries	00060	YES	S/I/U/D	PARTIAL	HIGH — LIMIT 1
naplan_domain_results	00060	YES	S/I/U/D	PARTIAL	HIGH — LIMIT 1
work_cycle_sessions	00061	YES	S/I/U/D	YES + permission	OK
work_cycle_interruptions	00061	YES	S/I/U/D	YES + permission	OK
accreditation_criteria	00062	YES	SELECT, ALL	PARTIAL	HIGH — LIMIT 1
accreditation_cycles	00062	YES	ALL	PARTIAL	HIGH — LIMIT 1, no permission
accreditation_assessments	00062	YES	ALL	PARTIAL	HIGH — LIMIT 1
accreditation_evidence	00062	YES	ALL	PARTIAL	HIGH — LIMIT 1
observation_tag_suggestions	00063	YES	ALL	PARTIAL	HIGH — LIMIT 1
montessori_hub_articles	00064	YES	SELECT, ALL	PARTIAL	HIGH — LIMIT 1
montessori_hub_reads	00064	YES	ALL	PARTIAL	HIGH — LIMIT 1, impersonation
montessori_hub_feedback	00064	YES	ALL	PARTIAL	HIGH — LIMIT 1, impersonation
newsletter_templates	00065	YES	ALL	YES (app.tenant_id)	MEDIUM — no permission
newsletters	00065	YES	ALL	YES (app.tenant_id)	MEDIUM — no permission
newsletter_sections	00065	YES	ALL	YES (app.tenant_id)	MEDIUM — no permission
newsletter_recipients	00065	YES	ALL	YES (app.tenant_id)	MEDIUM — no permission
SECURITY DEFINER Functions
Function	Migration	Risk
handle_new_user()	00001	LOW — Auth trigger, SET search_path = public
seed_tenant_roles()	00001+	LOW — Insert trigger on tenants
create_class_broadcast()	00006	CRITICAL — No tenant validation on p_tenant_id
next_invoice_number()	00028	HIGH — Leaks invoice count cross-tenant
prevent_hard_delete()	00052	LOW — Only raises exception
Service Role / Client-Side Checks
Check	Status
Browser client uses anon key only	PASS — NEXT_PUBLIC_SUPABASE_ANON_KEY
No .env files committed	PASS
No 'use client' files import admin client	PASS
SUPABASE_SERVICE_ROLE_KEY has no NEXT_PUBLIC_ prefix	PASS
Admin client is server-only	PASS
All admin client usages have auth gates	FAIL — 3 functions lack auth (see CRITICALs 4-6)
Tenant Scoping Inconsistency (5 different patterns)
Pattern	Used By	Count
current_tenant_id() (helper fn on JWT)	00001-00020	~60 tables
tenant_members subquery	00022-00033	~20 tables
current_setting('app.current_tenant_id')	00026, 00050-00051	~6 tables
current_setting('app.tenant_id')	00045, 00065	~7 tables
Raw JWT extraction	00017, 00021	~5 tables
LIMIT 1 subquery (non-deterministic)	00040, 00059-00064	~13 tables
This is a significant maintenance risk. If any one mechanism changes, a subset of tables silently loses isolation.

Prioritised Remediation Plan
P0 — Fix immediately (cross-tenant data exposure)
fee_notice_deliveries — Add ALTER TABLE fee_notice_deliveries ENABLE ROW LEVEL SECURITY + tenant-scoped policy
oauth_state_tokens — Change the ALL(true) policy to TO service_role or scope to tenant
create_class_broadcast() — Add IF p_tenant_id != current_tenant_id() THEN RAISE EXCEPTION guard
checkRatioBreaches() / checkIncidentNqaEscalations() — Move to cron-only API routes gated by CRON_SECRET, not exported server actions
retryWebhookEvent() — Add .eq("tenant_id", context.tenant.id) to both SELECT and UPDATE
resolveRecipientIds() — Add .eq("tenant_id", tenantId) to class_enrollments and program_bookings queries
P1 — Fix soon (weak isolation)
Replace all LIMIT 1 patterns with current_tenant_id() across 13 tables
notification_delivery_log / notification_topic_prefs — Add tenant_id scoping to policies
counsellor_case_notes — Add has_permission('view_counsellor_notes') to RLS policy
tuckshop_* tables — Add tenant-scoped policies (currently all access denied)
next_invoice_number() — Restrict EXECUTE to service_role or add internal tenant check
P2 — Standardise (reduce maintenance risk)
Unify all tenant scoping to use current_tenant_id() — eliminate the 5 different patterns
Add explicit WITH CHECK clauses to ~18 tables using implicit USING-only pattern
Add permission checks to newsletter, fee notice, report builder, and sensitive period tables
Add deleted_at IS NULL / is_active filter to all tenant_members subqueries in RLS
This is a platform handling children's data under Australian Privacy Act and state child protection laws. The P0 items should be patched before any new deployment.

WattleOS — Australian Privacy Principles (APPs) Data Minimisation Audit
Executive Summary
WattleOS is a Montessori school management platform handling data for children, parents, teachers, and administrators. This audit maps every piece of personal information collected, assesses necessity under the APPs, identifies all external data flows, and flags compliance gaps.

Overall Assessment: The platform collects data that is broadly justified by educational and regulatory obligations. However, there are 7 findings requiring attention — most notably, personal data flowing to OpenAI (US) and Google Fonts leaking metadata.

1. COMPLETE DATA MAP
A. Student Personal Information
Data Point	Where Collected	Storage	Necessary?	Justification
First name, last name	StudentForm, EnrollmentWizard	Supabase (Sydney)	Yes	Core identity, regulatory requirement
Preferred name	StudentForm, EnrollmentWizard	Supabase	Yes	Montessori practice, child wellbeing
Date of birth	StudentForm, EnrollmentWizard	Supabase	Yes	Age-based ratio compliance (Reg 123), CCS reporting
Gender	StudentForm	Supabase	Marginal	ACARA reporting requires it, but "prefer not to say" is offered
Photo/avatar	BulkUploadZone	Supabase Storage (Sydney)	Yes	ID cards, kiosk identification, safety
Residential address (full)	StudentForm	Supabase	Yes	Emergency contact, CCS, ACARA reporting
Nationality	StudentForm, EnrollmentWizard	Supabase	Marginal	Government reporting (ACARA)
Languages spoken	StudentForm	Supabase	Yes	LBOTE reporting, interpreter needs
Home language	StudentForm	Supabase	Yes	CALD compliance, interpreter flag
Previous school	StudentForm	Supabase	Marginal	Transition support — not strictly required
Religion	StudentForm	Supabase	Marginal	ISQ reporting (QLD only) — should be conditional
Country of birth	StudentForm	Supabase	Yes	ACARA mandatory field
Visa subclass	StudentForm	Supabase	Yes	International student compliance
Indigenous status	StudentForm	Supabase	Yes	ACARA mandatory, Closing the Gap
Language background (LBOTE)	StudentForm	Supabase	Yes	ACARA mandatory
Parent education level	Database schema	Supabase	EXCESSIVE	ACARA SES field — collected but not operationally needed by school
Parent occupation group	Database schema	Supabase	EXCESSIVE	ACARA SES field — collected but not operationally needed by school
Medicare number	StudentForm	Supabase (encrypted)	Yes	Emergency medical treatment
CRN (Customer Reference Number)	StudentForm	Supabase	Yes	Child Care Subsidy mandatory
USI (Unique Student Identifier)	StudentForm	Supabase	Yes	Senior secondary requirement
B. Guardian/Parent Information
Data Point	Where Collected	Storage	Necessary?	Justification
First name, last name	GuardianSection, EnrollmentWizard	Supabase	Yes	Identity, communication
Email	GuardianSection, EnrollmentWizard	Supabase	Yes	Primary communication channel
Phone	GuardianSection, ContactInfoForm	Supabase	Yes	Emergency contact
Relationship to child	GuardianSection	Supabase	Yes	Custody, authority determination
Residential address	EnrollmentWizard (Step 1)	Supabase	Yes	Emergency, regulatory
Media consent	GuardianSection	Supabase	Yes	Consent record required
Directory consent	GuardianSection	Supabase	Yes	Consent record required
Pickup authorisation	GuardianSection	Supabase	Yes	Child safety
C. Medical & Health Data (APP 3 — Sensitive Information)
Data Point	Where Collected	Storage	Necessary?	Justification
Medical conditions (type, name, severity)	MedicalConditionSection	Supabase (encrypted)	Yes	Duty of care, Reg 90-96
Action plans	MedicalConditionSection	Supabase	Yes	Regulatory — anaphylaxis/asthma management
Medication details (name, location, expiry)	MedicalConditionSection	Supabase	Yes	Medication administration (Reg 95-96)
Medication administration records	Medication module	Supabase (immutable)	Yes	Regulatory evidence
Immunisation status	Immunisation records	Supabase	Yes	No Jab No Play compliance
Sick bay visit records	Sick bay module	Supabase	Yes	Duty of care, parent notification
Wellbeing mood scores	Wellbeing check-ins	Supabase	Yes	Pastoral care, early intervention
Counsellor case notes	Counsellor module	Supabase (immutable)	Yes	Allied health records
Body temperature	Daily care / sick bay	Supabase	Yes	Illness monitoring
Sleep position checks	Daily care (SIDS)	Supabase (immutable)	Yes	SIDS compliance — mandatory for under-2s
D. Custody & Safety Data
Data Point	Where Collected	Storage	Necessary?
Restricted person name	Enrollment Step 7	Supabase	Yes — child safety
Restriction type	Enrollment Step 7	Supabase	Yes
Court order reference	Enrollment Step 7	Supabase	Yes
E. Staff Data
Data Point	Storage	Necessary?
WWCC number, state, expiry	Supabase	Yes — legal requirement
First aid / CPR / anaphylaxis certs	Supabase	Yes — Reg 136
Teacher registration number	Supabase	Yes — state requirement
Date of birth	Supabase	Yes — Worker Register (mandatory from Feb 2026)
Visa status, subclass, restrictions	Supabase	Yes — employment law
Leave requests (type, dates, reason)	Supabase	Yes — operational
Timesheet hours	Supabase	Yes — payroll
F. Visitor & Contractor Data
Data Point	Storage	Necessary?
Visitor name, type, purpose	Supabase	Yes — Reg 165
Organisation, host name	Supabase	Yes — accountability
Contractor licence, insurance, WWCC	Supabase	Yes — WHS compliance
Sign-in/out timestamps	Supabase	Yes — regulatory
G. Volunteer Data
Data Point	Storage	Necessary?
Name, email, phone	Supabase	Yes — coordination
WWCC number, expiry, state	Supabase	Yes — legal requirement
2. DATA MINIMISATION FINDINGS
FINDING 1: Parent Education Level & Occupation Group — EXCESSIVE
Fields: parent_education_level, parent_occupation_group in students table
Source: Migration 00044 (ACARA SES fields)
Issue: These are ACARA SES (Socio-Economic Status) demographic fields. While ACARA can request them, schools are not required to collect them directly from parents. Many schools derive SES from postcode. Collecting parental education and occupation from families is not necessary for the educational/operational purpose and constitutes collection beyond what is reasonably necessary (APP 3.2).
Risk: Medium — socioeconomic profiling of families
Recommendation: Make these fields admin-only and derive from postcode where possible, or remove if not actively reported to ACARA.
FINDING 2: Religion Field — CONDITIONALLY EXCESSIVE
Field: religion in students table
Source: StudentForm.tsx — labelled "ISQ reporting requirement"
Issue: Only required for Queensland independent schools reporting to ISQ. For schools in other states, this field collects sensitive information (APP 3 — religious beliefs) with no purpose.
Recommendation: Make this field conditional on tenant state/jurisdiction. Hide it entirely for non-QLD tenants.
FINDING 3: "Previous School" and "How Heard" — LOW RISK, MARGINAL
Fields: previous_school, how_heard (inquiry form)
Issue: Not strictly necessary for educational delivery. "How heard" is marketing data.
Mitigation: how_heard is already behind a tenant toggle (good). previous_school is useful for transition support but could be made optional-only.
3. ANALYTICS, TRACKING & TELEMETRY
Category	Status
Google Analytics / GA4	Not present
Facebook Pixel / Meta	Not present
Hotjar / FullStory / session replay	Not present
Sentry / error tracking	Not present
Mixpanel / Amplitude / Segment	Not present
A/B testing frameworks	Not present
Advertising trackers	Not present
Device fingerprinting	Not present
Canvas fingerprinting	Not present
Verdict: No analytics, advertising, or behavioural tracking is present. This is excellent for a children's platform.

4. THIRD-PARTY SERVICES — COMPLETE EXTERNAL DATA FLOW MAP
